Date,Strike,Option,Close,Maturity
25/05/2024, 17’500.00 ,Call, 1’277.70 ,21/06/2024
25/05/2024, 17’550.00 ,Call, 1’229.20 ,21/06/2024
25/05/2024, 17’600.00 ,Call, 1’181.00 ,21/06/2024
25/05/2024, 17’650.00 ,Call, 1’132.90 ,21/06/2024
25/05/2024, 17’700.00 ,Call, 1’085.10 ,21/06/2024
25/05/2024, 17’750.00 ,Call, 1’037.50 ,21/06/2024
25/05/2024, 17’800.00 ,Call, 990.10 ,21/06/2024
25/05/2024, 17’850.00 ,Call, 943.10 ,21/06/2024
25/05/2024, 17’900.00 ,Call, 896.30 ,21/06/2024
25/05/2024, 17’950.00 ,Call, 849.80 ,21/06/2024
25/05/2024, 18’000.00 ,Call, 803.80 ,21/06/2024
25/05/2024, 18’050.00 ,Call, 758.20 ,21/06/2024
25/05/2024, 18’100.00 ,Call, 713.10 ,21/06/2024
25/05/2024, 18’150.00 ,Call, 668.70 ,21/06/2024
25/05/2024, 18’200.00 ,Call, 625.00 ,21/06/2024
25/05/2024, 18’250.00 ,Call, 582.10 ,21/06/2024
25/05/2024, 18’300.00 ,Call, 540.00 ,21/06/2024
25/05/2024, 18’350.00 ,Call, 498.70 ,21/06/2024
25/05/2024, 18’400.00 ,Call, 458.50 ,21/06/2024
25/05/2024, 18’450.00 ,Call, 419.30 ,21/06/2024
25/05/2024, 18’500.00 ,Call, 381.50 ,21/06/2024
25/05/2024, 18’550.00 ,Call, 345.00 ,21/06/2024
25/05/2024, 18’600.00 ,Call, 310.10 ,21/06/2024
25/05/2024, 18’650.00 ,Call, 277.00 ,21/06/2024
25/05/2024, 18’700.00 ,Call, 245.60 ,21/06/2024
25/05/2024, 18’750.00 ,Call, 216.30 ,21/06/2024
25/05/2024, 18’800.00 ,Call, 189.00 ,21/06/2024
25/05/2024, 18’850.00 ,Call, 164.30 ,21/06/2024
25/05/2024, 18’900.00 ,Call, 142.00 ,21/06/2024
25/05/2024, 18’950.00 ,Call, 122.10 ,21/06/2024
25/05/2024, 19’000.00 ,Call, 104.30 ,21/06/2024
