,Instrument,Date,Maturity,PUTCALLIND,Strike,Close,Imp_Vol
1,/GDAX20000F0.EX,15/05/2020,19/06/2020,CALL,2000,8323.3,203.25
2,/GDAX20000R0.EX,15/05/2020,19/06/2020,PUT ,2000,0.1,150.5
3,/GDAX36000F0.EX,15/05/2020,19/06/2020,CALL,3600,6722.5,130.77
4,/GDAX36000R0.EX,15/05/2020,19/06/2020,PUT ,3600,0.4,102.66
5,/GDAX40000F0.EX,15/05/2020,19/06/2020,CALL,4000,6322.5,118.17
6,/GDAX40000R0.EX,15/05/2020,19/06/2020,PUT ,4000,0.7,97.84
7,/GDAX41000F0.EX,15/05/2020,19/06/2020,CALL,4100,6222.5,115.42
8,/GDAX41000R0.EX,15/05/2020,19/06/2020,PUT ,4100,0.8,95.43
9,/GDAX42000F0.EX,15/05/2020,19/06/2020,CALL,4200,6122.6,112.74
10,/GDAX42000R0.EX,15/05/2020,19/06/2020,PUT ,4200,0.9,94.76
11,/GDAX43000F0.EX,15/05/2020,19/06/2020,CALL,4300,6022.6,110.11
12,/GDAX43000R0.EX,15/05/2020,19/06/2020,PUT ,4300,1,93.82
13,/GDAX44000F0.EX,15/05/2020,19/06/2020,CALL,4400,5922.7,107.54
14,/GDAX44000R0.EX,15/05/2020,19/06/2020,PUT ,4400,1.2,92.7
15,/GDAX45000F0.EX,15/05/2020,19/06/2020,CALL,4500,5822.8,105.36
16,/GDAX45000R0.EX,15/05/2020,19/06/2020,PUT ,4500,1.3,90.41
17,/GDAX46000F0.EX,15/05/2020,19/06/2020,CALL,4600,5722.9,102.89
18,/GDAX46000R0.EX,15/05/2020,19/06/2020,PUT ,4600,1.5,90.13
19,/GDAX47000F0.EX,15/05/2020,19/06/2020,CALL,4700,5623,100.78
20,/GDAX47000R0.EX,15/05/2020,19/06/2020,PUT ,4700,1.7,88.72
21,/GDAX48000F0.EX,15/05/2020,19/06/2020,CALL,4800,5523.2,98.39
22,/GDAX48000R0.EX,15/05/2020,19/06/2020,PUT ,4800,2,87.27
23,/GDAX49000F0.EX,15/05/2020,19/06/2020,CALL,4900,5423.3,96.34
24,/GDAX49000R0.EX,15/05/2020,19/06/2020,PUT ,4900,2.2,86.42
25,/GDAX52000F0.EX,15/05/2020,19/06/2020,CALL,5200,5124,90.57
26,/GDAX52000R0.EX,15/05/2020,19/06/2020,PUT ,5200,3.1,83.06
27,/GDAX55000F0.EX,15/05/2020,19/06/2020,CALL,5500,4825,85.14
28,/GDAX55000R0.EX,15/05/2020,19/06/2020,PUT ,5500,4.3,79.69
29,/GDAX56000F0.EX,15/05/2020,19/06/2020,CALL,5600,4725.4,83.6
30,/GDAX56000R0.EX,15/05/2020,19/06/2020,PUT ,5600,4.8,78.51
31,/GDAX58000F0.EX,15/05/2020,19/06/2020,CALL,5800,4526.4,80.47
32,/GDAX58000R0.EX,15/05/2020,19/06/2020,PUT ,5800,6,76.2
33,/GDAX60000F0.EX,15/05/2020,19/06/2020,CALL,6000,4327.7,77.58
34,/GDAX60000R0.EX,15/05/2020,19/06/2020,PUT ,6000,7.4,74.23
35,/GDAX61000F0.EX,15/05/2020,19/06/2020,CALL,6100,4228.4,76.23
36,/GDAX61000R0.EX,15/05/2020,19/06/2020,PUT ,6100,8.2,73.1
